CountryID,Lesbian women,Gay men,Bisexual women,Bisexual men,Transgender,jumlah total,income
EU Total,15236,57448,6424,7200,6771,93079,959811
AT,437,1558,164,217,167,2543,45466
BE,424,1998,132,182,165,2901,41647
BG,226,474,139,88,106,1033,17107
CY,41,164,18,17,25,265,31962
CZ,565,1432,163,139,170,2469,28802
DE,2445,13907,590,2000,1329,20271,44266
DK,393,930,136,108,143,1710,43933
EE,99,170,61,20,24,374,25494
GR,399,1590,219,288,264,2760,25433
ES,897,4409,354,514,214,6388,32076
FI,820,1192,756,190,481,3439,40340
FR,1302,5720,326,592,435,8375,39251
HU,307,1455,135,236,134,2267,23086
IE,423,864,141,58,139,1625,46058
IT,2136,8668,805,996,650,13255,35051
LT,177,439,100,65,40,821,24382
LU,51,187,16,26,38,318,92102
LV,150,200,83,22,46,501,21302
MT,109,173,40,18,18,358,30682
NL,614,1937,214,159,251,3175,46491
PL,375,1754,264,138,259,2790,23359
PT,456,1168,268,146,87,2125,26093
RO,139,690,70,214,147,1260,17859
SE,427,1053,341,269,374,2464,44057
SI,160,345,64,38,29,636,28448
SK,144,584,96,61,115,1000,26609
GB,1285,3795,572,294,813,6759,37994
HR,235,592,157,105,108,1197,20461
